time,open,high,low,close,tick_volume,spread,real_volume
2025-02-20 00:00:00+00:00,96152.85,96248.31,96020.62,96216.38,3453,2000,0
2025-02-20 00:15:00+00:00,96215.69,96423.8,96208.69,96381.66,2744,1631,0
2025-02-20 00:30:00+00:00,96383.45,96451.97,96323.16,96391.65,2119,2000,0
2025-02-20 00:45:00+00:00,96391.68,96416.91,96156.59,96268.3,2837,10,0
2025-02-20 01:00:00+00:00,96268.3,96450.71,96263.5,96398.9,2932,10,0
2025-02-20 01:15:00+00:00,96400.46,96584.34,96303.97,96447.47,3558,1081,0
2025-02-20 01:30:00+00:00,96453.92,96474.37,96313.89,96457.17,2190,1151,0
2025-02-20 01:45:00+00:00,96462.25,96538.18,96456.41,96517.95,2284,1151,0
2025-02-20 02:00:00+00:00,96517.25,96887.91,96511.18,96603.39,4827,1394,0
2025-02-20 02:15:00+00:00,96604.53,96835.39,96599.84,96654.65,4653,2000,0
2025-02-20 02:30:00+00:00,96651.97,96715.73,96571.91,96670.59,3797,1904,0
2025-02-20 02:45:00+00:00,96673.98,96674.84,96542.12,96632.65,3975,1954,0
2025-02-20 03:00:00+00:00,96629.67,96692.27,96508.81,96533.02,4159,2000,0
2025-02-20 03:15:00+00:00,96535.61,96588.91,96406.06,96500.53,5035,2000,0
2025-02-20 03:30:00+00:00,96502.23,96566.57,96416.06,96563.76,4135,1405,0
2025-02-20 03:45:00+00:00,96564.31,96864.91,96544.94,96855.89,4969,2000,0
2025-02-20 04:00:00+00:00,96855.92,96990.06,96692.36,96721.7,5444,1503,0
2025-02-20 04:15:00+00:00,96722.28,96864.48,96683.19,96705.17,3942,1188,0
2025-02-20 04:30:00+00:00,96707.04,96754.79,96642.0,96689.98,3758,1888,0
2025-02-20 04:45:00+00:00,96690.25,96787.58,96629.25,96781.05,3841,1174,0
2025-02-20 05:00:00+00:00,96778.94,96945.4,96755.43,96916.73,3827,1950,0
2025-02-20 05:15:00+00:00,96919.59,96932.21,96815.72,96863.18,3148,1607,0
2025-02-20 05:30:00+00:00,96863.18,96938.77,96736.51,96877.43,4717,1150,0
2025-02-20 05:45:00+00:00,96875.08,97300.75,96874.02,97126.92,5275,1516,0
2025-02-20 06:00:00+00:00,97126.59,97379.09,97124.76,97173.48,5736,1385,0
2025-02-20 06:15:00+00:00,97172.62,97177.5,97001.19,97023.42,3147,1519,0
2025-02-20 06:30:00+00:00,97023.08,97144.54,97020.61,97090.13,3110,1151,0
2025-02-20 06:45:00+00:00,97087.89,97133.15,97029.93,97068.48,3053,2000,0
2025-02-20 07:00:00+00:00,97066.03,97150.57,97050.94,97134.99,4666,1974,0
2025-02-20 07:15:00+00:00,97135.2,97284.41,97077.5,97252.75,5872,2000,0
2025-02-20 07:30:00+00:00,97252.41,97339.02,97192.84,97228.36,3876,2000,0
2025-02-20 07:45:00+00:00,97228.46,97266.59,97160.87,97225.49,3450,589,0
2025-02-20 08:00:00+00:00,97226.18,97230.77,97108.99,97118.06,3010,2000,0
2025-02-20 08:15:00+00:00,97121.0,97225.52,97022.34,97033.46,3462,1784,0
2025-02-20 08:30:00+00:00,97036.8,97161.41,97035.04,97136.7,3593,1434,0
2025-02-20 08:45:00+00:00,97140.46,97142.7,96898.18,96909.54,2585,1150,0
2025-02-20 09:00:00+00:00,96909.62,96933.75,96788.32,96827.85,3389,476,0
2025-02-20 09:15:00+00:00,96829.48,96978.18,96814.16,96950.39,2245,1887,0
2025-02-20 09:30:00+00:00,96951.75,96978.23,96884.92,96948.78,1698,2000,0
2025-02-20 09:45:00+00:00,96949.97,96961.22,96853.88,96913.59,2292,1874,0
2025-02-20 10:00:00+00:00,96912.49,96936.42,96817.99,96850.12,2303,2000,0
2025-02-20 10:15:00+00:00,96852.66,96977.55,96838.14,96958.14,2818,2000,0
2025-02-20 10:30:00+00:00,96961.42,97094.92,96956.51,97028.41,992,2000,0
2025-02-20 10:45:00+00:00,97028.83,97036.37,96858.71,96865.35,909,1150,0
2025-02-20 11:00:00+00:00,96865.9,96902.42,96803.91,96873.4,1349,1526,0
2025-02-20 11:15:00+00:00,96872.74,96994.28,96853.83,96980.19,2431,2000,0
2025-02-20 11:30:00+00:00,96981.23,97034.47,96946.9,97028.99,1700,2000,0
2025-02-20 11:45:00+00:00,97026.91,97199.4,96999.93,97160.5,1700,1150,0
2025-02-20 12:00:00+00:00,97164.02,97267.36,97163.68,97235.76,1030,2000,0
2025-02-20 12:15:00+00:00,97236.16,97260.97,97172.16,97229.99,644,1150,0
2025-02-20 12:30:00+00:00,97230.12,97279.07,97144.9,97258.28,1303,10,0
2025-02-20 12:45:00+00:00,97261.11,97264.85,97164.83,97177.94,1958,2000,0
2025-02-20 13:00:00+00:00,97174.0,97205.88,97093.19,97112.3,923,1528,0
2025-02-20 13:15:00+00:00,97109.16,97239.4,97109.03,97206.05,1772,1951,0
