time,open,high,low,close,volume
2025-02-20 00:00:00+00:00,168.94,169.45,168.41,168.7,19133.348
2025-02-20 00:15:00+00:00,168.71,169.05,168.15,168.39,18805.489
2025-02-20 00:30:00+00:00,168.39,168.9,167.66,168.9,20643.283
2025-02-20 00:45:00+00:00,168.9,170.28,168.44,169.99,52119.499
2025-02-20 01:00:00+00:00,169.99,170.63,169.04,169.2,38899.665
2025-02-20 01:15:00+00:00,169.21,169.7,168.54,169.03,18099.87
2025-02-20 01:30:00+00:00,169.03,169.05,168.07,168.23,18911.587
2025-02-20 01:45:00+00:00,168.22,168.43,167.95,168.24,16156.391
2025-02-20 02:00:00+00:00,168.25,169.57,168.25,169.56,27722.563
2025-02-20 02:15:00+00:00,169.55,169.74,168.89,169.55,16425.579
2025-02-20 02:30:00+00:00,169.55,170.54,169.12,169.92,32064.381
2025-02-20 02:45:00+00:00,169.93,172.47,169.85,171.89,60887.465
2025-02-20 03:00:00+00:00,171.89,172.41,171.27,171.39,36178.146
2025-02-20 03:15:00+00:00,171.39,171.47,170.78,170.96,22569.909
2025-02-20 03:30:00+00:00,170.97,171.95,170.93,171.68,30213.66
2025-02-20 03:45:00+00:00,171.69,172.89,171.61,172.44,38145.873
2025-02-20 04:00:00+00:00,172.43,173.79,172.37,173.57,40728.712
2025-02-20 04:15:00+00:00,173.56,174.96,173.55,173.87,44331.854
2025-02-20 04:30:00+00:00,173.86,173.87,172.73,173.02,28999.284
2025-02-20 04:45:00+00:00,173.02,173.18,172.63,173.04,27021.055
2025-02-20 05:00:00+00:00,173.03,173.1,172.67,172.75,25187.123
2025-02-20 05:15:00+00:00,172.75,173.34,172.55,172.62,22192.488
2025-02-20 05:30:00+00:00,172.62,172.98,172.26,172.67,22266.485
2025-02-20 05:45:00+00:00,172.68,172.7,172.17,172.38,21742.709
2025-02-20 06:00:00+00:00,172.38,172.68,171.93,172.02,26269.208
2025-02-20 06:15:00+00:00,172.01,172.48,171.98,172.08,34115.562
2025-02-20 06:30:00+00:00,172.09,172.46,171.27,171.68,27012.75
2025-02-20 06:45:00+00:00,171.68,172.17,171.33,171.77,18116.308
2025-02-20 07:00:00+00:00,171.78,171.9,170.86,171.19,17166.906
2025-02-20 07:15:00+00:00,171.19,171.37,170.88,171.28,19111.512
2025-02-20 07:30:00+00:00,171.27,171.96,171.23,171.8,15177.505
2025-02-20 07:45:00+00:00,171.81,172.2,171.75,171.77,17342.065
2025-02-20 08:00:00+00:00,171.77,171.96,171.39,171.61,14883.51
2025-02-20 08:15:00+00:00,171.61,172.0,170.92,171.88,22285.098
2025-02-20 08:30:00+00:00,171.88,172.27,171.51,172.14,14484.127
2025-02-20 08:45:00+00:00,172.13,172.64,171.76,172.28,25286.005
2025-02-20 09:00:00+00:00,172.28,172.51,171.81,172.24,16140.79
2025-02-20 09:15:00+00:00,172.25,172.29,171.71,171.9,10748.281
2025-02-20 09:30:00+00:00,171.9,172.63,171.75,172.33,17746.186
2025-02-20 09:45:00+00:00,172.33,172.45,171.86,172.06,26603.377
2025-02-20 10:00:00+00:00,172.06,172.78,171.99,172.37,48450.929
2025-02-20 10:15:00+00:00,172.36,173.06,172.31,173.0,49031.929
2025-02-20 10:30:00+00:00,173.0,173.57,172.66,173.4,41239.879
2025-02-20 10:45:00+00:00,173.41,174.07,172.99,173.8,34866.355
2025-02-20 11:00:00+00:00,173.79,174.36,173.5,173.5,29303.685
2025-02-20 11:15:00+00:00,173.51,175.12,173.38,174.6,39370.398
2025-02-20 11:30:00+00:00,174.59,174.79,173.5,173.59,30575.466
2025-02-20 11:45:00+00:00,173.6,175.15,173.57,173.99,90444.323
2025-02-20 12:00:00+00:00,173.99,174.89,173.99,174.77,34002.05
2025-02-20 12:15:00+00:00,174.78,174.79,173.95,174.07,28772.282
2025-02-20 12:30:00+00:00,174.06,174.74,173.83,174.02,30808.395
2025-02-20 12:45:00+00:00,174.03,174.13,173.14,173.4,25642.122
2025-02-20 13:00:00+00:00,173.4,173.79,172.94,173.17,56669.365
2025-02-20 13:15:00+00:00,173.17,173.21,172.59,172.94,23569.593
2025-02-20 13:30:00+00:00,172.95,173.58,172.52,172.97,28932.356
2025-02-20 13:45:00+00:00,172.98,174.17,172.98,174.14,54287.696
2025-02-20 14:00:00+00:00,174.13,175.84,174.05,175.05,82038.795
2025-02-20 14:15:00+00:00,175.05,175.82,174.46,175.33,88004.876
2025-02-20 14:30:00+00:00,175.33,176.65,175.05,175.05,74829.719
2025-02-20 14:45:00+00:00,175.04,175.04,172.23,172.53,79504.68
2025-02-20 15:00:00+00:00,172.54,173.42,172.01,172.87,52510.379
2025-02-20 15:15:00+00:00,172.87,173.18,172.47,172.92,31337.584
2025-02-20 15:30:00+00:00,172.92,173.1,171.98,172.47,26016.459
2025-02-20 15:45:00+00:00,172.48,172.48,171.21,171.61,39321.226
2025-02-20 16:00:00+00:00,171.62,173.41,171.22,172.58,76541.254
2025-02-20 16:15:00+00:00,172.58,173.2,172.03,173.17,28645.479
2025-02-20 16:30:00+00:00,173.17,173.3,172.19,172.81,16938.751
2025-02-20 16:45:00+00:00,172.81,172.92,171.66,171.86,18876.054
2025-02-20 17:00:00+00:00,171.86,172.8,171.67,172.8,15386.42
2025-02-20 17:15:00+00:00,172.8,173.43,172.7,173.04,17956.158
2025-02-20 17:30:00+00:00,173.03,173.45,172.69,172.94,29106.775
2025-02-20 17:45:00+00:00,172.95,173.46,172.81,173.38,10472.542
2025-02-20 18:00:00+00:00,173.38,174.39,173.33,174.14,24184.496
2025-02-20 18:15:00+00:00,174.13,175.0,173.54,174.54,31094.306
2025-02-20 18:30:00+00:00,174.54,175.11,173.98,174.29,22691.806
2025-02-20 18:45:00+00:00,174.28,174.63,173.71,174.29,20559.42
2025-02-20 19:00:00+00:00,174.3,174.81,174.14,174.48,12414.709
2025-02-20 19:15:00+00:00,174.49,175.45,174.18,175.39,17833.052
2025-02-20 19:30:00+00:00,175.39,175.46,174.02,174.37,42416.091
2025-02-20 19:45:00+00:00,174.38,175.03,174.2,174.98,15290.779
2025-02-20 20:00:00+00:00,174.97,175.37,174.79,175.09,15929.573
2025-02-20 20:15:00+00:00,175.08,175.96,174.83,175.29,35173.361
2025-02-20 20:30:00+00:00,175.28,175.44,174.45,174.79,19241.667
2025-02-20 20:45:00+00:00,174.79,174.92,174.31,174.6,20000.608
2025-02-20 21:00:00+00:00,174.6,174.75,173.99,174.05,20555.421
2025-02-20 21:15:00+00:00,174.05,174.3,173.34,174.17,86183.074
2025-02-20 21:30:00+00:00,174.16,174.42,173.69,173.77,25048.525
2025-02-20 21:45:00+00:00,173.77,174.08,173.22,173.32,21398.671
2025-02-20 22:00:00+00:00,173.32,173.86,173.17,173.74,23940.003
2025-02-20 22:15:00+00:00,173.75,174.04,173.51,174.04,16950.145
2025-02-20 22:30:00+00:00,174.04,174.29,173.86,174.16,12675.371
2025-02-20 22:45:00+00:00,174.16,174.33,173.7,174.06,10994.188
2025-02-20 23:00:00+00:00,174.05,174.47,174.02,174.38,11293.116
2025-02-20 23:15:00+00:00,174.39,175.38,174.39,175.25,18035.763
2025-02-20 23:30:00+00:00,175.26,176.2,175.2,176.03,29497.115
2025-02-20 23:45:00+00:00,176.03,176.54,175.66,176.0,29962.493
2025-02-21 00:00:00+00:00,176.0,176.47,175.67,175.68,30255.369
2025-02-21 00:15:00+00:00,175.68,175.98,175.0,175.14,22466.959
2025-02-21 00:30:00+00:00,175.14,175.44,174.58,174.61,25612.996
2025-02-21 00:45:00+00:00,174.62,174.77,174.07,174.36,32340.987
2025-02-21 01:00:00+00:00,174.35,174.56,173.64,173.65,19930.41
2025-02-21 01:15:00+00:00,173.65,174.11,173.27,173.64,18761.837
2025-02-21 01:30:00+00:00,173.65,174.26,173.41,173.93,13037.003
2025-02-21 01:45:00+00:00,173.93,174.73,173.78,174.28,19588.968
2025-02-21 02:00:00+00:00,174.27,174.41,173.51,174.14,20316.59
2025-02-21 02:15:00+00:00,174.15,174.85,173.93,174.0,14962.439
2025-02-21 02:30:00+00:00,174.0,174.11,173.03,173.21,18754.129
2025-02-21 02:45:00+00:00,173.22,173.64,173.0,173.34,28212.081
2025-02-21 03:00:00+00:00,173.34,173.96,173.34,173.69,17659.442
2025-02-21 03:15:00+00:00,173.69,174.5,173.5,174.15,18962.616
2025-02-21 03:30:00+00:00,174.14,174.14,173.52,173.68,14675.745
2025-02-21 03:45:00+00:00,173.69,173.75,173.11,173.28,13493.329
2025-02-21 04:00:00+00:00,173.27,174.25,173.27,174.16,22139.913
2025-02-21 04:15:00+00:00,174.15,175.08,174.15,174.48,26489.695
2025-02-21 04:30:00+00:00,174.48,174.49,173.3,174.3,63727.615
2025-02-21 04:45:00+00:00,174.3,174.34,173.68,174.02,19507.436
2025-02-21 05:00:00+00:00,174.03,174.85,173.86,174.85,45467.836
2025-02-21 05:15:00+00:00,174.85,175.04,174.04,174.67,28570.203
2025-02-21 05:30:00+00:00,174.66,175.56,174.59,175.18,16824.332
2025-02-21 05:45:00+00:00,175.18,175.36,175.0,175.1,27119.82
2025-02-21 06:00:00+00:00,175.1,175.64,174.83,175.37,45454.453
2025-02-21 06:15:00+00:00,175.38,175.98,175.09,175.69,15911.53
2025-02-21 06:30:00+00:00,175.69,176.15,175.54,176.12,19827.672
