time,open,high,low,close,volume
2025-02-20 00:00:00+00:00,0.609,0.611,0.605,0.608,992436.13
2025-02-20 00:15:00+00:00,0.608,0.612,0.607,0.611,1032899.82
2025-02-20 00:30:00+00:00,0.612,0.616,0.608,0.616,1101866.39
2025-02-20 00:45:00+00:00,0.616,0.624,0.614,0.62,1172208.73
2025-02-20 01:00:00+00:00,0.62,0.627,0.618,0.619,1006891.98
2025-02-20 01:15:00+00:00,0.619,0.621,0.614,0.616,871343.19
2025-02-20 01:30:00+00:00,0.616,0.616,0.608,0.609,973449.49
2025-02-20 01:45:00+00:00,0.609,0.61,0.606,0.609,1020865.08
2025-02-20 02:00:00+00:00,0.609,0.613,0.607,0.613,539422.87
2025-02-20 02:15:00+00:00,0.613,0.614,0.609,0.613,651725.46
2025-02-20 02:30:00+00:00,0.613,0.615,0.609,0.613,562559.81
2025-02-20 02:45:00+00:00,0.614,0.626,0.614,0.624,1076805.41
2025-02-20 03:00:00+00:00,0.623,0.627,0.618,0.618,689515.54
2025-02-20 03:15:00+00:00,0.618,0.619,0.615,0.617,612063.01
2025-02-20 03:30:00+00:00,0.617,0.623,0.617,0.621,582643.56
2025-02-20 03:45:00+00:00,0.62,0.624,0.62,0.621,486328.75
2025-02-20 04:00:00+00:00,0.621,0.626,0.619,0.624,826871.55
2025-02-20 04:15:00+00:00,0.624,0.63,0.623,0.627,598577.65
2025-02-20 04:30:00+00:00,0.628,0.628,0.62,0.621,396638.43
2025-02-20 04:45:00+00:00,0.622,0.623,0.618,0.619,276973.92
2025-02-20 05:00:00+00:00,0.619,0.622,0.616,0.619,283061.28
2025-02-20 05:15:00+00:00,0.619,0.621,0.616,0.618,295367.12
2025-02-20 05:30:00+00:00,0.617,0.621,0.615,0.619,179573.57
2025-02-20 05:45:00+00:00,0.62,0.62,0.614,0.616,326420.6
2025-02-20 06:00:00+00:00,0.615,0.617,0.612,0.614,611995.76
2025-02-20 06:15:00+00:00,0.614,0.615,0.612,0.614,285172.15
2025-02-20 06:30:00+00:00,0.614,0.616,0.611,0.611,483920.6
2025-02-20 06:45:00+00:00,0.611,0.614,0.611,0.613,177479.1
2025-02-20 07:00:00+00:00,0.612,0.614,0.609,0.611,193976.95
2025-02-20 07:15:00+00:00,0.611,0.612,0.609,0.612,1059543.99
2025-02-20 07:30:00+00:00,0.612,0.618,0.611,0.616,315354.53
2025-02-20 07:45:00+00:00,0.615,0.618,0.614,0.615,446730.45
2025-02-20 08:00:00+00:00,0.615,0.618,0.612,0.613,771862.12
2025-02-20 08:15:00+00:00,0.614,0.615,0.61,0.615,764817.73
2025-02-20 08:30:00+00:00,0.615,0.616,0.612,0.616,310481.03
2025-02-20 08:45:00+00:00,0.616,0.62,0.614,0.619,393507.97
