time,open,high,low,close,tick_volume,spread,real_volume
2025-02-20 00:00:00+00:00,2935.82,2937.48,2932.29,2932.99,1722,8,0
2025-02-20 02:00:00+00:00,2933.46,2936.08,2933.33,2935.26,831,5,0
2025-02-20 03:00:00+00:00,2935.25,2941.22,2935.25,2940.84,2010,5,0
2025-02-20 04:00:00+00:00,2940.87,2942.45,2934.61,2937.13,4446,5,0
2025-02-20 05:00:00+00:00,2937.13,2941.53,2933.88,2940.78,4030,6,0
2025-02-20 06:00:00+00:00,2940.82,2944.05,2940.49,2941.91,2736,5,0
2025-02-20 07:00:00+00:00,2941.91,2942.56,2939.22,2939.91,1963,5,0
2025-02-20 08:00:00+00:00,2940.22,2946.84,2939.36,2946.81,2821,5,0
2025-02-20 09:00:00+00:00,2946.81,2948.89,2943.95,2947.75,3404,5,0
2025-02-20 10:00:00+00:00,2947.72,2954.18,2946.35,2948.95,3407,5,0
2025-02-20 11:00:00+00:00,2949.0,2954.83,2948.92,2954.62,3751,5,0
2025-02-20 12:00:00+00:00,2954.62,2954.91,2949.9,2951.61,3443,7,0
2025-02-20 13:00:00+00:00,2951.52,2954.82,2949.1,2952.36,3894,7,0
2025-02-20 14:00:00+00:00,2952.36,2952.9,2947.22,2948.76,3056,5,0
2025-02-20 15:00:00+00:00,2948.73,2950.8,2939.02,2945.41,4384,8,0
2025-02-20 16:00:00+00:00,2945.3,2947.52,2933.8,2934.01,5489,5,0
2025-02-20 17:00:00+00:00,2933.38,2939.91,2924.26,2935.15,6074,5,0
2025-02-20 18:00:00+00:00,2935.11,2939.55,2931.56,2938.54,5425,5,0
2025-02-20 19:00:00+00:00,2938.63,2945.67,2936.01,2943.1,4825,5,0
2025-02-20 20:00:00+00:00,2942.93,2946.99,2940.22,2940.57,4373,8,0
2025-02-20 21:00:00+00:00,2940.46,2942.48,2937.49,2941.73,4196,5,0
2025-02-20 22:00:00+00:00,2941.86,2941.86,2933.64,2937.9,3864,5,0
2025-02-20 23:00:00+00:00,2938.06,2938.8,2935.62,2937.79,3655,5,0
2025-02-21 00:00:00+00:00,2937.79,2940.37,2937.58,2939.06,1439,5,0
2025-02-21 02:00:00+00:00,2938.84,2943.3,2938.2,2941.32,1145,10,0
2025-02-21 03:00:00+00:00,2941.39,2942.73,2937.01,2939.99,1646,15,0
2025-02-21 04:00:00+00:00,2939.99,2949.59,2926.84,2928.69,4770,5,0
2025-02-21 05:00:00+00:00,2928.65,2941.0,2926.2,2939.02,4283,5,0
