time,open,high,low,close,tick_volume,spread,real_volume
2025-02-20 00:00:00+00:00,2935.82,2937.48,2935.32,2936.72,568,15,0
2025-02-20 00:15:00+00:00,2936.52,2936.56,2934.13,2934.15,494,8,0
2025-02-20 00:30:00+00:00,2934.23,2934.42,2932.56,2932.88,361,17,0
2025-02-20 00:45:00+00:00,2932.86,2933.66,2932.29,2932.99,299,15,0
2025-02-20 02:00:00+00:00,2933.46,2934.46,2933.33,2933.91,184,5,0
2025-02-20 02:15:00+00:00,2933.97,2935.75,2933.97,2934.5,238,11,0
2025-02-20 02:30:00+00:00,2934.48,2934.6,2933.72,2934.14,176,8,0
2025-02-20 02:45:00+00:00,2934.34,2936.08,2934.34,2935.26,233,6,0
2025-02-20 03:00:00+00:00,2935.25,2940.1,2935.25,2939.11,567,5,0
2025-02-20 03:15:00+00:00,2939.05,2940.01,2938.48,2938.89,367,9,0
2025-02-20 03:30:00+00:00,2939.24,2941.22,2938.98,2940.3,468,13,0
2025-02-20 03:45:00+00:00,2940.25,2941.15,2939.34,2940.84,608,5,0
2025-02-20 04:00:00+00:00,2940.87,2941.88,2939.16,2940.79,1170,6,0
2025-02-20 04:15:00+00:00,2940.89,2942.45,2936.54,2936.54,1034,9,0
2025-02-20 04:30:00+00:00,2936.59,2937.38,2934.61,2936.75,1109,5,0
2025-02-20 04:45:00+00:00,2936.76,2938.09,2935.07,2937.13,1133,5,0
2025-02-20 05:00:00+00:00,2937.13,2937.26,2933.88,2936.2,1059,7,0
2025-02-20 05:15:00+00:00,2936.19,2939.29,2935.94,2938.19,813,11,0
2025-02-20 05:30:00+00:00,2938.27,2938.87,2936.05,2936.93,1101,6,0
2025-02-20 05:45:00+00:00,2936.76,2941.53,2936.12,2940.78,1057,12,0
2025-02-20 06:00:00+00:00,2940.82,2944.03,2940.5,2943.72,718,5,0
2025-02-20 06:15:00+00:00,2943.72,2944.05,2942.49,2942.96,625,8,0
2025-02-20 06:30:00+00:00,2942.96,2943.07,2941.38,2941.99,748,8,0
2025-02-20 06:45:00+00:00,2942.0,2943.23,2940.49,2941.91,645,9,0
2025-02-20 07:00:00+00:00,2941.91,2942.56,2940.0,2940.51,560,5,0
2025-02-20 07:15:00+00:00,2940.51,2940.86,2939.51,2940.6,635,5,0
2025-02-20 07:30:00+00:00,2940.57,2941.31,2939.29,2940.92,415,5,0
2025-02-20 07:45:00+00:00,2940.92,2941.03,2939.22,2939.91,353,8,0
2025-02-20 08:00:00+00:00,2940.22,2943.21,2939.36,2942.88,796,11,0
2025-02-20 08:15:00+00:00,2942.91,2945.1,2942.72,2944.79,515,8,0
2025-02-20 08:30:00+00:00,2944.81,2945.39,2943.62,2943.92,790,5,0
2025-02-20 08:45:00+00:00,2943.92,2946.84,2943.91,2946.81,720,5,0
2025-02-20 09:00:00+00:00,2946.81,2947.12,2944.92,2945.48,881,5,0
2025-02-20 09:15:00+00:00,2945.52,2946.2,2944.89,2945.68,765,11,0
2025-02-20 09:30:00+00:00,2945.69,2947.17,2943.95,2944.98,874,5,0
2025-02-20 09:45:00+00:00,2945.09,2948.89,2944.17,2947.75,884,11,0
2025-02-20 10:00:00+00:00,2947.72,2949.08,2946.35,2948.61,842,10,0
2025-02-20 10:15:00+00:00,2948.62,2949.36,2948.02,2949.0,704,8,0
2025-02-20 10:30:00+00:00,2948.99,2954.18,2948.11,2948.41,994,5,0
2025-02-20 10:45:00+00:00,2948.51,2949.24,2947.06,2948.95,867,12,0
2025-02-20 11:00:00+00:00,2949.0,2954.53,2948.92,2954.27,1143,10,0
2025-02-20 11:15:00+00:00,2954.28,2954.83,2952.7,2952.81,1019,5,0
2025-02-20 11:30:00+00:00,2952.82,2954.78,2952.81,2953.9,842,7,0
2025-02-20 11:45:00+00:00,2953.96,2954.71,2952.25,2954.62,747,9,0
2025-02-20 12:00:00+00:00,2954.62,2954.91,2953.45,2953.68,963,10,0
2025-02-20 12:15:00+00:00,2953.77,2954.71,2952.45,2952.72,821,7,0
2025-02-20 12:30:00+00:00,2952.81,2953.39,2949.9,2950.64,849,15,0
2025-02-20 12:45:00+00:00,2950.65,2953.28,2950.05,2951.61,810,13,0
2025-02-20 13:00:00+00:00,2951.52,2954.29,2951.39,2954.21,933,13,0
2025-02-20 13:15:00+00:00,2954.21,2954.82,2952.64,2953.64,879,15,0
2025-02-20 13:30:00+00:00,2953.54,2954.27,2949.1,2952.58,1158,7,0
2025-02-20 13:45:00+00:00,2952.57,2953.41,2950.86,2952.36,924,9,0
2025-02-20 14:00:00+00:00,2952.36,2952.9,2950.65,2951.13,686,9,0
2025-02-20 14:15:00+00:00,2951.13,2951.9,2949.41,2951.59,775,13,0
2025-02-20 14:30:00+00:00,2951.7,2952.48,2949.01,2949.73,658,11,0
2025-02-20 14:45:00+00:00,2949.72,2949.73,2947.22,2948.76,937,5,0
2025-02-20 15:00:00+00:00,2948.73,2950.8,2946.97,2948.67,1123,10,0
2025-02-20 15:15:00+00:00,2948.81,2948.96,2939.02,2941.71,1345,8,0
2025-02-20 15:30:00+00:00,2941.65,2944.77,2941.02,2944.26,952,10,0
2025-02-20 15:45:00+00:00,2944.28,2945.64,2942.25,2945.41,964,11,0
2025-02-20 16:00:00+00:00,2945.3,2947.14,2940.59,2943.34,1382,6,0
2025-02-20 16:15:00+00:00,2943.37,2946.29,2942.22,2944.08,1254,5,0
2025-02-20 16:30:00+00:00,2944.26,2947.52,2939.87,2939.9,1383,11,0
2025-02-20 16:45:00+00:00,2939.86,2939.86,2933.8,2934.01,1470,5,0
2025-02-20 17:00:00+00:00,2933.38,2934.33,2924.26,2925.52,1499,6,0
2025-02-20 17:15:00+00:00,2925.54,2931.36,2924.4,2929.43,1537,13,0
2025-02-20 17:30:00+00:00,2929.36,2939.91,2929.32,2939.44,1561,5,0
2025-02-20 17:45:00+00:00,2939.34,2939.86,2934.73,2935.15,1477,11,0
2025-02-20 18:00:00+00:00,2935.11,2937.42,2931.56,2934.36,1497,7,0
2025-02-20 18:15:00+00:00,2934.37,2938.87,2933.09,2936.81,1301,5,0
2025-02-20 18:30:00+00:00,2936.81,2938.35,2933.26,2937.69,1328,10,0
2025-02-20 18:45:00+00:00,2937.55,2939.55,2935.28,2938.54,1299,5,0
2025-02-20 19:00:00+00:00,2938.63,2939.49,2936.01,2938.48,1123,9,0
2025-02-20 19:15:00+00:00,2938.51,2945.56,2937.89,2942.91,1301,5,0
2025-02-20 19:30:00+00:00,2942.92,2945.67,2942.79,2944.52,1228,5,0
2025-02-20 19:45:00+00:00,2944.33,2945.01,2942.32,2943.1,1173,11,0
2025-02-20 20:00:00+00:00,2942.93,2945.24,2940.57,2941.6,1228,8,0
2025-02-20 20:15:00+00:00,2941.57,2942.43,2940.49,2941.65,1059,10,0
2025-02-20 20:30:00+00:00,2941.69,2946.99,2941.19,2945.73,977,11,0
2025-02-20 20:45:00+00:00,2945.6,2945.93,2940.22,2940.57,1109,10,0
2025-02-20 21:00:00+00:00,2940.46,2941.59,2938.63,2938.74,1171,7,0
2025-02-20 21:15:00+00:00,2938.67,2941.12,2937.49,2940.69,1111,8,0
2025-02-20 21:30:00+00:00,2940.73,2941.32,2940.03,2941.1,998,9,0
2025-02-20 21:45:00+00:00,2941.09,2942.48,2940.45,2941.73,916,5,0
2025-02-20 22:00:00+00:00,2941.86,2941.86,2939.28,2939.43,990,5,0
2025-02-20 22:15:00+00:00,2939.43,2940.25,2937.76,2937.92,966,8,0
2025-02-20 22:30:00+00:00,2938.0,2938.32,2933.64,2935.5,979,11,0
2025-02-20 22:45:00+00:00,2935.5,2938.76,2934.72,2937.9,929,5,0
2025-02-20 23:00:00+00:00,2938.06,2938.16,2935.75,2936.6,886,8,0
2025-02-20 23:15:00+00:00,2936.61,2938.16,2935.95,2936.24,858,5,0
2025-02-20 23:30:00+00:00,2936.27,2937.52,2935.62,2936.22,870,6,0
2025-02-20 23:45:00+00:00,2936.32,2938.8,2935.81,2937.79,1041,5,0
2025-02-21 00:00:00+00:00,2937.79,2939.34,2937.58,2939.24,379,5,0
2025-02-21 00:15:00+00:00,2939.34,2939.97,2939.21,2939.84,299,14,0
2025-02-21 00:30:00+00:00,2939.85,2940.37,2939.67,2940.06,307,10,0
2025-02-21 00:45:00+00:00,2940.08,2940.31,2938.36,2939.06,454,5,0
2025-02-21 02:00:00+00:00,2938.84,2940.17,2938.2,2938.77,332,10,0
2025-02-21 02:15:00+00:00,2938.82,2940.21,2938.47,2940.21,170,25,0
2025-02-21 02:30:00+00:00,2940.21,2942.63,2940.0,2942.22,337,12,0
2025-02-21 02:45:00+00:00,2942.22,2943.3,2940.72,2941.32,306,15,0
2025-02-21 03:00:00+00:00,2941.39,2942.73,2940.76,2942.13,387,17,0
2025-02-21 03:15:00+00:00,2942.19,2942.19,2937.01,2938.47,463,15,0
2025-02-21 03:30:00+00:00,2938.47,2939.65,2937.25,2939.44,399,16,0
2025-02-21 03:45:00+00:00,2939.42,2940.32,2939.17,2939.99,397,18,0
2025-02-21 04:00:00+00:00,2939.99,2946.87,2939.65,2945.84,1201,10,0
2025-02-21 04:15:00+00:00,2945.91,2949.59,2944.94,2945.42,1020,7,0
2025-02-21 04:30:00+00:00,2945.5,2945.78,2935.99,2936.59,1200,6,0
2025-02-21 04:45:00+00:00,2936.59,2937.11,2926.84,2928.69,1349,5,0
2025-02-21 05:00:00+00:00,2928.65,2938.77,2926.2,2938.32,1284,5,0
2025-02-21 05:15:00+00:00,2938.19,2940.17,2937.36,2938.11,969,9,0
2025-02-21 05:30:00+00:00,2938.13,2941.0,2937.66,2939.49,1110,5,0
2025-02-21 05:45:00+00:00,2939.5,2940.71,2938.96,2939.02,920,5,0
2025-02-21 06:00:00+00:00,2939.03,2939.73,2930.17,2932.73,1294,5,0
2025-02-21 06:15:00+00:00,2932.72,2933.65,2927.07,2928.15,1160,5,0
2025-02-21 06:30:00+00:00,2928.25,2934.12,2928.25,2932.18,795,12,0
2025-02-21 06:45:00+00:00,2932.31,2932.71,2930.29,2931.19,697,6,0
2025-02-21 07:00:00+00:00,2931.2,2932.23,2930.41,2930.97,748,10,0
2025-02-21 07:15:00+00:00,2930.87,2931.37,2929.94,2930.51,668,13,0
2025-02-21 07:30:00+00:00,2930.5,2932.1,2930.07,2930.15,573,14,0
2025-02-21 07:45:00+00:00,2930.08,2930.38,2926.55,2928.38,800,10,0
